Split,Model Group,Model,stock_id,n_rows,RMSE,RMSPE,QLIKE
Unseen anonymous,Normal Long,XGB Long,17,38300,0.0004321592349551619,2.0308613491266048,0.09398593365716436
Unseen anonymous,Normal Long,XGB Long,22,38300,0.0005625307581643221,7.559789239022261,0.16215822919672515
Unseen anonymous,Normal Long,XGB Long,28,38300,0.0003308794708885261,2.5068235254027447,0.13383151846444724
Unseen anonymous,Normal Long,XGB Long,30,38300,0.0006300900301143482,13.509716709971528,0.2928406535093673
Unseen anonymous,Normal Long,XGB Long,34,38300,0.0002500466019172609,1.3520656919432597,0.08538071014194118
Unseen anonymous,Normal Long,XGB Long,35,38300,0.00027975193535170615,0.536324578683236,0.05253094235718614
Unseen anonymous,Normal Long,XGB Long,38,38150,0.0005850738291195963,8.08909050669391,0.21720392408758407
Unseen anonymous,Normal Long,XGB Long,40,38300,0.0007392463091293724,13.269285050963061,0.2658089916311543
Unseen anonymous,Normal Long,XGB Long,48,38300,0.00038256128437377416,3.86407399417989,0.15114503677669563
Unseen anonymous,Normal Long,XGB Long,60,38300,0.0005420155751891641,11.75995119638838,0.3356784189669948
Unseen anonymous,Normal Long,XGB Long,74,38300,0.0003971174954589831,3.2893725189761147,0.22164965265247852
Unseen anonymous,Normal Long,XGB Long,81,38300,0.0005174719850139129,3.6092565152293345,0.1464754928789565
Unseen anonymous,Normal Long,XGB Long,84,38300,0.000290482956863599,0.5793498608803505,0.052198728420438746
Unseen anonymous,Normal Long,XGB Long,87,38300,0.0004930026626691069,3.972025790577893,0.12572678390043035
Unseen anonymous,Normal Long,XGB Long,89,38300,0.0004246300249808363,4.494029406606613,0.23534670560823445
Unseen anonymous,Normal Long,XGB Long,93,38300,0.00022795112390398478,1.0765679336200744,0.077512487088725
Unseen anonymous,Normal Long,XGB Long,95,38300,0.0002624277482933339,1.2188390822737447,0.07127850774911353
Unseen anonymous,Normal Long,XGB Long,105,38300,0.0002801420795833417,2.959636532319322,0.17080101407471324
Unseen anonymous,Normal Long,XGB Long,111,38300,0.00019706329487977783,1.1051185089931836,0.08757642682737884
Unseen anonymous,Normal Long,RF Long,0,38300,0.0006265915170387428,16.673935230303883,0.33380950284101885
Unseen anonymous,Normal Long,RF Long,17,38300,0.00044235173499870215,2.153348055312956,0.10318499843798966
Unseen anonymous,Normal Long,RF Long,22,38300,0.0005638993571279277,7.795107301119459,0.16735365831656646
Unseen anonymous,Normal Long,RF Long,28,38300,0.0003472078359897046,3.2545783606156333,0.15905756027643045
Unseen anonymous,Normal Long,RF Long,30,38300,0.000627975585913017,14.211339739859175,0.31037157981522606
Unseen anonymous,Normal Long,RF Long,34,38300,0.00026556430967941886,1.8906654846432984,0.11000756878738784
Unseen anonymous,Normal Long,RF Long,35,38300,0.0002970710085482355,0.7341973050162797,0.07710652657814082
Unseen anonymous,Normal Long,RF Long,38,38150,0.0005895786201592044,8.42423229424315,0.22292564335057535
Unseen anonymous,Normal Long,RF Long,40,38300,0.0007421734014682303,13.420224591713295,0.26690740072084257
Unseen anonymous,Normal Long,RF Long,48,38300,0.0003922767103603055,4.390553880911155,0.16883037447281465
Unseen anonymous,Normal Long,RF Long,60,38300,0.0005516911548448574,12.904898455297062,0.36364707859652456
Unseen anonymous,Normal Long,RF Long,74,38300,0.00041010360739891484,3.979354681948071,0.2404520612981439
Unseen anonymous,Normal Long,RF Long,81,38300,0.0005250071713579956,3.932003243422459,0.1544603843492609
Unseen anonymous,Normal Long,RF Long,84,38300,0.0003099210370038059,0.7497254238924265,0.07283444640471448
Unseen anonymous,Normal Long,RF Long,87,38300,0.0004962321493795797,4.103459804080605,0.1321555382664435
Unseen anonymous,Normal Long,RF Long,89,38300,0.00043532543311732274,5.218735505995661,0.25558526188538006
Unseen anonymous,Normal Long,RF Long,93,38300,0.00024914811992943003,1.7101742152078574,0.11236545568801423
Unseen anonymous,Normal Long,RF Long,95,38300,0.00027973763923076783,1.3728822511575922,0.08989543215540176
Unseen anonymous,Normal Long,RF Long,105,38300,0.00029829613874365744,3.9238294815903125,0.205325599803915
Unseen anonymous,Normal Long,RF Long,111,38300,0.0002248067025607837,1.8141280154874118,0.1252902250995371
Unseen anonymous,Normal Long,MLP Long,0,38300,0.0006319513351925214,16.23888392341172,0.3220028361847541
Unseen anonymous,Normal Long,MLP Long,17,38300,0.00043723218564975053,2.082021501819701,0.09501095526645045
Unseen anonymous,Normal Long,MLP Long,22,38300,0.0005640036932210328,8.026137745820007,0.16294387083717393
Unseen anonymous,Normal Long,MLP Long,28,38300,0.0003381314740621392,2.6957195411813433,0.13775624048696558
Unseen anonymous,Normal Long,MLP Long,30,38300,0.0006425363860332804,14.02477792617264,0.29697057029578183
Unseen anonymous,Normal Long,MLP Long,34,38300,0.0002538371034010996,1.5062911333871276,0.08885970152191046
Unseen anonymous,Normal Long,MLP Long,35,38300,0.0002948243824327309,0.5754354898976405,0.0575993219016587
Unseen anonymous,Normal Long,MLP Long,38,38150,0.0005899561995749281,8.335655542626988,0.21859890498605325
Unseen anonymous,Normal Long,MLP Long,40,38300,0.0007438308241574292,13.672000525321058,0.2674149230267943
Unseen anonymous,Normal Long,MLP Long,48,38300,0.0003863570400535776,3.9926732162256586,0.153954312832487
Unseen anonymous,Normal Long,MLP Long,60,38300,0.0005478159916719467,12.088229917625073,0.34147096088461915
Unseen anonymous,Normal Long,MLP Long,74,38300,0.00040694388452508734,3.461753266297398,0.22728314832111993
Unseen anonymous,Normal Long,MLP Long,81,38300,0.000528172930387806,3.6915199954523423,0.15015595063606507
Unseen anonymous,Normal Long,MLP Long,84,38300,0.00030479789619201447,0.610124712125463,0.056207879531106
Unseen anonymous,Normal Long,MLP Long,87,38300,0.0004946677578445378,4.093684017885413,0.12684002970489877
Unseen anonymous,Normal Long,MLP Long,89,38300,0.00043068841193316833,4.6187161518598625,0.24262360566563934
Unseen anonymous,Normal Long,MLP Long,93,38300,0.00023381167358002246,1.1973715625857282,0.08173738311360554
Unseen anonymous,Normal Long,MLP Long,95,38300,0.0002696647999196401,1.2637250565500617,0.07390965241085994
Unseen anonymous,Normal Long,MLP Long,105,38300,0.0002882513784521389,3.1680088040311105,0.1780749348037805
Unseen anonymous,Normal Long,MLP Long,111,38300,0.0002145125426389219,1.2488601623192621,0.09495432045373274
Unseen anonymous,Normal Long,HAR-RV,0,38300,0.0006260952478543375,14.933864890811106,0.3237432763286263
