stock_id,model,n_rows,rmse,rmspe,qlike
9323,XGB Short,134784,0.00012197807329585985,0.558649792101048,0.053589503701715044
9323,XGB Medium,132480,0.000117574812254744,0.5267265845740647,0.049861260345670594
9323,XGB Long,126720,0.00011342559098292268,0.49820746794555004,0.04663567757160152
9323,WXGB Base,137088,0.0001402869206038745,0.6449131354683871,0.06647732390610467
9323,WXGB Short,134784,0.00012140655295998169,0.5474119525106783,0.05274021338540655
9323,WXGB Medium,132480,0.00011737819771836866,0.5239879593047196,0.04970911620544495
9323,WXGB Long,126720,0.00011340570602925226,0.4967088962888456,0.04660246135233496
9323,RF Base,137088,0.00017433096561630826,1.0725345716723114,0.11774538922461569
9323,RF Short,134784,0.00017382518781203953,1.0775969461175594,0.12075140187694362
9323,RF Medium,132480,0.00017193724849309908,1.077599917462843,0.1203546735205145
9323,RF Long,126720,0.00016455368801425658,1.0602201994731373,0.11376816226819057
9323,MLP Base,137088,0.00016909331259872925,0.9196645928986769,0.09895842216242345
9323,MLP Short,134784,0.00013523802306284784,0.6522934864368083,0.06603833510656074
9323,MLP Medium,132480,0.0003877530556630883,2.317804010732119,0.3155422863879572
9323,MLP Long,126720,0.0001222380755572749,0.5302775263279556,0.05233071211869336
22675,HAR-RV,126720,0.00020215827996336025,0.8969146084746381,0.06554312279092842
22675,LR Base,137088,0.00023482714358151604,1.000559955119362,0.07814793061861956
22675,LR Short,134784,0.00021194715795099577,0.9059891557421726,0.06889444391827099
22675,LR Medium,132480,0.00020641948279179388,0.8828805029589404,0.06677839375606102
22675,LR Long,126720,0.0002013067924041904,0.8604134692444592,0.064669277963022
22675,WLR Base,137088,0.00023618354605588825,0.986566248329615,0.07853616585424474
22675,WLR Short,134784,0.0002120928371458331,0.900548298062732,0.06897019810848135
22675,WLR Medium,132480,0.00020644052213209297,0.8812457424341853,0.06682058876648199
22675,WLR Long,126720,0.00020125639620079564,0.8587570836405525,0.0646643081630239
22675,Lasso Base,137088,0.00022883698235217202,1.031872962231427,0.07725015505803491
22675,Lasso Short,134784,0.0002127638399762732,0.9547220782602023,0.06968680047067531
22675,Lasso Medium,132480,0.00020751434879789723,0.926378198375143,0.06740606738533181
22675,Lasso Long,126720,0.0002025849926520524,0.8932409424406392,0.06521276539635873
22675,XGB Base,137088,0.0002309786679620613,0.8866775648586889,0.07937014797784417
22675,XGB Short,134784,0.00021200123811150262,0.8460111248759332,0.07079913914311946
22675,XGB Medium,132480,0.00020620879263681677,0.834753097716058,0.06804243564168388
22675,XGB Long,126720,0.0002009622595232363,0.8188223610257267,0.06535349642582851
22675,WXGB Base,137088,0.000231754576364914,0.8753067530804918,0.08056999830433335
22675,WXGB Short,134784,0.00021216677552128143,0.842318941259669,0.07112688487029832
22675,WXGB Medium,132480,0.00020629177272667843,0.8317730282329839,0.0681432138494406
22675,WXGB Long,126720,0.00020093063003359847,0.8157810879102934,0.06534423315497243
22675,RF Base,137088,0.00023850500940379477,0.9188562660658043,0.08329820133170819
22675,RF Short,134784,0.0002366811036188113,0.9005289587838908,0.08589786287142247
22675,RF Medium,132480,0.00023355074394999624,0.8807798164853591,0.08673537201040259
22675,RF Long,126720,0.00022256169131365213,0.8517465318876097,0.08092687918810149
22675,MLP Base,137088,0.00023020922439257203,1.0318157387886528,0.0779199994230272
22675,MLP Short,134784,0.0002187452910214252,0.8166699126973563,0.07438791517916962
22675,MLP Medium,132480,0.00035846799970410835,1.784979877703402,0.1542754780525534
22675,MLP Long,126720,0.0002044339598867207,0.8470338593821991,0.06611556862602598
22729,HAR-RV,126720,0.0002938162433170866,3.8797882345508317,0.1461690408757422
22729,LR Base,137088,0.00032690122401868234,4.63839489876045,0.16453884598617965
22729,LR Short,134784,0.00030529682559262805,4.078853855382919,0.1512588360078793
22729,LR Medium,132480,0.0002992366910119858,3.9785460317346395,0.14850349282973885
22729,LR Long,126720,0.0002932278392817717,3.8618062773551656,0.14546251395033474
22729,WLR Base,137088,0.0003274870291693859,4.584755437464569,0.16424906135368658
22729,WLR Short,134784,0.0003054289662499395,4.048260833266403,0.1512837178509567
22729,WLR Medium,132480,0.0002992996607745371,3.9636015693926576,0.14858979146920906
22729,WLR Long,126720,0.0002932180303212762,3.850411669020818,0.1454943264427007
22729,Lasso Base,137088,0.0003236734924034325,4.539481924338187,0.1636252294688915
22729,Lasso Short,134784,0.0003064397939214693,4.223018934243206,0.15252878810379683
22729,Lasso Medium,132480,0.0002999853473835407,4.099876276897115,0.14898965205830902
22729,Lasso Long,126720,0.00029394905940214103,3.978226594324747,0.14572854437577873
22729,XGB Base,137088,0.0003244260103374423,4.119625767949506,0.161329358612222
22729,XGB Short,134784,0.00030625399956211584,3.913408332424487,0.15235709917419016
22729,XGB Medium,132480,0.0002996022189750647,3.8330084108532647,0.14931063012860615
22729,XGB Long,126720,0.0002931967893964857,3.7634295040993218,0.14611931589738889
22729,WXGB Base,137088,0.0003250588752616168,4.036475206860338,0.16192486254388447
22729,WXGB Short,134784,0.00030667322365943064,3.884668568548462,0.15282965811707552
22729,WXGB Medium,132480,0.00029970081162716534,3.830008369385139,0.14930021542299912
22729,WXGB Long,126720,0.00029320714423120096,3.7598371117556724,0.14617498046820235
22729,RF Base,137088,0.00032944300229856716,4.487983173938602,0.16683180319091148
22729,RF Short,134784,0.0003194105772727474,4.413750249348206,0.16390111892828524
22729,RF Medium,132480,0.000314732983385673,4.362533753492543,0.16260749404898475
22729,RF Long,126720,0.00030424295542528124,4.2110788952051195,0.15721923620744413
22729,MLP Base,137088,0.00032583576673560655,4.6640061446987815,0.16470677746089624
22729,MLP Short,134784,0.0003094542926947826,3.7229110220428896,0.1552179010638118
22729,MLP Medium,132480,0.00043663489984247585,7.048043616413908,0.23900911928514734
22729,MLP Long,126720,0.0002951930826641929,3.918892496252197,0.14676550439287428
22753,HAR-RV,126720,0.00011641196758024132,0.542749207653473,0.0510518259731016
22753,LR Base,137088,0.00014825517467285308,0.7174189565692995,0.07798613431829415
22753,LR Short,134784,0.00012339507784359403,0.5798880619938641,0.05644082428480133
22753,LR Medium,132480,0.00011812677684723575,0.5431766001895435,0.051748653715695356
22753,LR Long,126720,0.00011364612456888051,0.5091825806656385,0.04784159550750227
22753,WLR Base,137088,0.000147945932801147,0.7022012448646748,0.07688754607856822
22753,WLR Short,134784,0.00012316769325939513,0.5753699085888696,0.056045266849051104
22753,WLR Medium,132480,0.00011811530869620657,0.5424723152515842,0.05168069812190975
22753,WLR Long,126720,0.00011365477132972216,0.5088771436122775,0.04782104721949932
22753,Lasso Base,137088,0.000146852128812,0.7671335114329542,0.08079645685621369
22753,Lasso Short,134784,0.00012688683251834567,0.6358735995651105,0.06191347120901407
22753,Lasso Medium,132480,0.00012113123210539114,0.590847743965952,0.05635607205722957
22753,Lasso Long,126720,0.0001156983316730592,0.5443800201037892,0.05109814063511792
22753,XGB Base,137088,0.000136721179793229,0.5809103591894078,0.06176452159890882
22753,XGB Short,134784,0.00011791586575674616,0.4969081484794959,0.04903267682487799
22753,XGB Medium,132480,0.00011395194406995191,0.4702194364490011,0.04616676132137001
22753,XGB Long,126720,0.00011063082906345737,0.44680660950209145,0.043897512581655855
22753,WXGB Base,137088,0.00013422159243552684,0.562449614258173,0.060094101916893815
22753,WXGB Short,134784,0.00011748442545744571,0.48572952047971985,0.04850757881500939
22753,WXGB Medium,132480,0.0001137875710108633,0.4661038923848468,0.04601061706018747
22753,WXGB Long,126720,0.00011051239756991788,0.44168109173058406,0.043791853132883606
22753,RF Base,137088,0.00015981625470683916,0.8230724442874711,0.09349739865834472
22753,RF Short,134784,0.0001636564825270362,0.8222239356423158,0.09798819905310202
22753,RF Medium,132480,0.00016307595118524552,0.8244293368322722,0.09845053305874835
22753,RF Long,126720,0.00015522919308552218,0.8012141473534218,0.09203199360504725
22753,MLP Base,137088,0.0001611135965424644,0.7898888031428591,0.08554695191364917
22753,MLP Short,134784,0.00012428732548032273,0.5097844846299329,0.05434287974506657
22753,MLP Medium,132480,0.00037737808831290077,1.9269362770779446,0.27353242356660906
22753,MLP Long,126720,0.00011552529587468767,0.4799680096306185,0.047725506716086954
22771,HAR-RV,126720,0.0002562770063998333,1.661361580887785,0.08805320773017108
22771,LR Base,137088,0.00028882862179416193,1.8656339308598546,0.1038626643920039
22771,LR Short,134784,0.00026609958194122156,1.6983260927324673,0.09279922676358068
